sigma,# of nodes
0,0
1,1
2,2
3,3
4,5
5,7
6,11
7,15
8,22
9,30
10,42
11,56
12,77
13,99
14,131
15,168
16,217
17,273
18,347
19,430
20,537
21,658
22,808
23,977
24,1185
25,1415
26,1693
27,2003
28,2368
29,2771
30,3243
31,3757
32,4351
33,4996
34,5728
35,6518
36,7409
37,8357
38,9414
39,10536
40,11769
41,13065
42,14480
43,15950
44,17539
45,19180
46,20930
47,22722
48,24620
49,26536
50,28546
51,30561
52,32647
53,34712
54,36834
55,38903
56,41005
57,43030
58,45055
59,46974
60,48874
61,50628
62,52337
63,53880
64,55346
65,56619
66,57801
67,58762
68,59614
69,60235
70,60728
71,60981
72,61108
73,60981
74,60728
75,60235
76,59614
77,58762
78,57801
79,56619
80,55346
81,53880
82,52337
83,50628
84,48874
85,46974
86,45055
87,43030
88,41005
89,38903
90,36834
91,34712
92,32647
93,30561
94,28546
95,26536
96,24620
97,22722
98,20930
99,19180
100,17539
101,15950
102,14480
103,13065
104,11769
105,10536
106,9414
107,8357
108,7409
109,6518
110,5728
111,4996
112,4351
113,3757
114,3243
115,2771
116,2368
117,2003
118,1693
119,1415
120,1185
121,977
122,808
123,658
124,537
125,430
126,347
127,273
128,217
129,168
130,131
131,99
132,77
133,56
134,42
135,30
136,22
137,15
138,11
139,7
140,5
141,3
142,2
143,1
144,1
